"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"AC009518.4",2,0.032811,1.353,"reduce survival"
"DCAF13P3",1,0.03282,1.353,"reduce survival"
"SH2D4A",111,0.032823,1.352,"reduce survival"
"ARSI",102,0.032826,1.353,"reduce survival"
"SPATA6",687,0.032881,1.353,"reduce survival"
"CRTAC1",323,0.032884,0.739,"extend survival"
"STYK1",7,0.03289,0.739,"extend survival"
"RP11-77H9.2",38,0.032894,1.353,"reduce survival"
"RP11-474I11.7",2,0.032896,1.356,"reduce survival"
"ABCC1",939,0.032914,1.353,"reduce survival"
"LINC00396",2,0.032915,1.353,"reduce survival"
"MCL1",6444,0.032918,1.353,"reduce survival"
"CFH",449,0.03292,1.354,"reduce survival"
"EIF4EBP3",14,0.032934,1.352,"reduce survival"
"RP1-197O17.2",2,0.032951,0.721,"extend survival"
"RP11-423F24.3",2,0.032961,1.366,"reduce survival"
"LAMC1",2393,0.032966,1.352,"reduce survival"
"KANSL3",1858,0.032971,1.352,"reduce survival"
"RP11-546B15.1",2,0.032983,1.355,"reduce survival"
"RP1-8B1.4",8,0.032989,0.738,"extend survival"
"MIR378I",4,0.033035,0.739,"extend survival"
"ANGPT2",607,0.033036,1.353,"reduce survival"
"DLGAP1-AS3",2,0.033049,0.733,"extend survival"
"DALRD3",678,0.033056,1.353,"reduce survival"
"LINC00607",11,0.03306,1.353,"reduce survival"
"CTC-250I14.1",3,0.033069,0.738,"extend survival"
"ZFP82",253,0.033081,1.352,"reduce survival"
"PLEKHG2",1176,0.033091,1.353,"reduce survival"
"CTBP2P7",2,0.033105,1.353,"reduce survival"
"GNL3LP1",2,0.033117,1.355,"reduce survival"
"MIR4730",1,0.033118,1.373,"reduce survival"
"RN7SL566P",2,0.033136,1.353,"reduce survival"
"RP11-82L2.1",8,0.033137,1.351,"reduce survival"
"QRFP",5,0.033142,1.351,"reduce survival"
"ALG5",641,0.033149,1.352,"reduce survival"
"MSRB3",347,0.03316,1.353,"reduce survival"
"USP30-AS1",1,0.033184,1.352,"reduce survival"
"RP4-580N22.2",7,0.033203,1.351,"reduce survival"
"HS2ST1",1254,0.033206,1.351,"reduce survival"
"MARCH7",1182,0.033225,1.352,"reduce survival"
"POFUT2",1692,0.03323,1.352,"reduce survival"
"RP5-899E9.1",7,0.033246,1.352,"reduce survival"
"PPP4R4",37,0.03325,0.741,"extend survival"
"ACTG2",132,0.033251,1.352,"reduce survival"
"GTF2IRD1",643,0.033252,1.351,"reduce survival"
"GAB1",1376,0.033257,1.351,"reduce survival"
"GBP3",466,0.033261,1.351,"reduce survival"
"TMBIM6",17928,0.033263,1.351,"reduce survival"
"RP4-758J24.5",239,0.033287,1.351,"reduce survival"
"CCP110",764,0.033318,1.352,"reduce survival"
"RP11-492M23.2",2,0.033334,0.739,"extend survival"
"C1R",3382,0.03335,1.352,"reduce survival"
"RP11-268G12.3",1,0.033367,0.735,"extend survival"
"AC008267.1",4,0.03337,1.352,"reduce survival"
"DAAM1",777,0.033372,1.353,"reduce survival"
"WDR33",1900,0.033395,1.352,"reduce survival"
"ARHGAP25",332,0.033402,1.351,"reduce survival"
"PCIF1",1895,0.033437,1.351,"reduce survival"
"UTP6",1157,0.03347,1.35,"reduce survival"
"RP4-694B14.5",31,0.033481,1.351,"reduce survival"
"AC005519.4",27,0.033509,1.352,"reduce survival"
"CTD-2047H16.4",62,0.033531,1.352,"reduce survival"
"NUP205",1214,0.033538,1.352,"reduce survival"
"PRPF38B",1734,0.033584,1.352,"reduce survival"
"AC009948.5",334,0.033586,1.351,"reduce survival"
"PASK",489,0.033597,1.351,"reduce survival"
"SMO",1341,0.033598,1.351,"reduce survival"
"KIAA0226L",70,0.033601,1.352,"reduce survival"
"LFNG",2317,0.033604,1.35,"reduce survival"
"ZSCAN5C",1,0.033612,1.356,"reduce survival"
"ALPK1",286,0.033628,1.351,"reduce survival"
"TNNT2",11,0.033635,0.739,"extend survival"
"EXTL3-AS1",93,0.033638,1.352,"reduce survival"
"KCNA4",10,0.033645,0.74,"extend survival"
"ABHD15",239,0.033672,1.35,"reduce survival"
"ZNF350",258,0.033679,1.351,"reduce survival"
"DLX6",13,0.033692,0.74,"extend survival"
"RPL5P17",4,0.033719,0.74,"extend survival"
"PSEN1",1949,0.033771,1.351,"reduce survival"
"BMS1P17",1,0.033788,1.366,"reduce survival"
"AF186192.6",3,0.033796,1.35,"reduce survival"
"RP11-775C24.3",3,0.0338,1.35,"reduce survival"
"CTHRC1",213,0.033803,1.35,"reduce survival"
"LIPT1",153,0.033808,1.351,"reduce survival"
"ERRFI1",757,0.03382,1.351,"reduce survival"
"TLX2",15,0.033821,1.348,"reduce survival"
"CCND3",2191,0.033829,0.74,"extend survival"
"GRHL3",49,0.03386,1.35,"reduce survival"
"RP11-379H8.1",1,0.033895,0.73,"extend survival"
"CTC-498M16.2",11,0.033913,1.351,"reduce survival"
"CCDC8",220,0.033958,1.35,"reduce survival"
"KMT2E",1358,0.03396,1.351,"reduce survival"
"SKIV2L",1862,0.033978,1.349,"reduce survival"
"KISS1",3,0.033981,0.74,"extend survival"
"ZMAT4",38,0.033995,0.74,"extend survival"
"HDDC3",123,0.034002,1.349,"reduce survival"
"ZRANB2-AS2",14,0.034015,1.35,"reduce survival"
"C5orf55",221,0.034023,0.741,"extend survival"
"CELF1",2870,0.034033,1.351,"reduce survival"
"RP11-448P19.1",11,0.034112,1.348,"reduce survival"
"MORC3",749,0.034127,1.351,"reduce survival"
"HERPUD2",976,0.03413,1.351,"reduce survival"
"RP11-537E18.1",1,0.034131,1.351,"reduce survival"
"IGSF11",709,0.034148,1.351,"reduce survival"
"GHRLOS",16,0.034153,1.35,"reduce survival"
"ZNF225",107,0.034153,1.351,"reduce survival"
"ITGB4",3740,0.034162,1.349,"reduce survival"
"RP4-671G15.2",19,0.03417,1.349,"reduce survival"
"TARBP2",1208,0.034171,1.347,"reduce survival"
"LRRC37A6P",18,0.034183,1.35,"reduce survival"
"FOXD4",53,0.034197,1.348,"reduce survival"
"CD63",22382,0.034203,1.349,"reduce survival"
"PARP15",34,0.034214,1.35,"reduce survival"
"RP4-657D16.3",21,0.03423,1.35,"reduce survival"
"CCNL1",1890,0.034236,1.351,"reduce survival"
"MCCC1-AS1",14,0.034252,1.349,"reduce survival"
"MIR4326",4,0.034257,1.35,"reduce survival"
"RNA5SP383",11,0.034281,1.35,"reduce survival"
"FOXJ3",1553,0.034287,1.351,"reduce survival"
"ZBTB2",317,0.034314,1.349,"reduce survival"
"FRZB",521,0.034329,1.348,"reduce survival"
"CLCNKB",9,0.034353,1.349,"reduce survival"
"PON1",8,0.034358,0.741,"extend survival"
"NRD1",2757,0.034359,1.35,"reduce survival"
"UBXN4",2649,0.034368,1.35,"reduce survival"
"CTD-2256P15.1",2,0.034382,0.741,"extend survival"
"DPH3",737,0.034395,1.349,"reduce survival"
"TDPX2",3,0.034409,1.351,"reduce survival"
"SIPA1L1",2154,0.034432,1.35,"reduce survival"
"TBX4",5,0.034432,1.348,"reduce survival"
"LAIR1",191,0.034433,1.35,"reduce survival"
"MIER3",541,0.034436,1.35,"reduce survival"
"USP32P3",126,0.034437,1.35,"reduce survival"
"OR1L8",1,0.034447,1.349,"reduce survival"
"SLC38A8",4,0.03448,0.741,"extend survival"
"RP11-204C16.4",3,0.034483,1.352,"reduce survival"
"COL21A1",52,0.034486,1.349,"reduce survival"
"RP11-281P23.1",2,0.034506,1.351,"reduce survival"
"SH2D6",65,0.034547,0.741,"extend survival"
"FBLIM1",554,0.034557,1.348,"reduce survival"
"MAPKAPK2",431,0.034558,1.349,"reduce survival"
"ZSCAN9",431,0.034571,1.349,"reduce survival"
"MLEC",4565,0.034613,1.349,"reduce survival"
"RP11-707M1.1",4,0.03462,0.741,"extend survival"
"TNFSF14",34,0.034631,1.349,"reduce survival"
"MIPEP",323,0.034674,1.348,"reduce survival"
"SOS1",1059,0.034682,1.35,"reduce survival"
"RP1-313I6.12",36,0.03469,0.741,"extend survival"
"FAM50B",317,0.034691,1.348,"reduce survival"
"CYP19A1",33,0.034738,1.347,"reduce survival"
"ARPC2",4778,0.034739,1.347,"reduce survival"
"CD93",1070,0.034761,1.348,"reduce survival"
"CTD-3088G3.8",72,0.034771,1.349,"reduce survival"
"ZNF687",1325,0.034785,1.348,"reduce survival"
"ZNF570",64,0.034788,1.349,"reduce survival"
"ARHGAP44",140,0.034822,0.742,"extend survival"
"SYT13",99,0.034859,0.741,"extend survival"
"ZNF616",193,0.034863,1.349,"reduce survival"
"SRCIN1",440,0.034911,1.347,"reduce survival"
"ZNF492",5,0.034913,0.742,"extend survival"
"RP11-707P17.2",17,0.034923,1.349,"reduce survival"
"POLR1D",1330,0.034924,1.345,"reduce survival"
"DGKB",232,0.034945,0.741,"extend survival"
"RP11-894P9.1",83,0.034957,1.35,"reduce survival"
"USP6",86,0.034981,1.347,"reduce survival"
"ITPKA",302,0.034991,0.741,"extend survival"
"A2M",11062,0.034994,1.349,"reduce survival"
"ZNF410",26,0.034994,1.349,"reduce survival"
"EEA1",759,0.035022,1.349,"reduce survival"
"RP11-416A14.1",4,0.035032,1.346,"reduce survival"
"USP40",1267,0.035053,1.349,"reduce survival"
"RP11-9L18.2",12,0.035069,1.347,"reduce survival"
"CTSC",1182,0.035076,1.348,"reduce survival"
"LUCAT1",12,0.035107,1.348,"reduce survival"
"MFGE8",3626,0.035156,1.347,"reduce survival"
"RIC8A",3495,0.03516,1.347,"reduce survival"
"LRP4-AS1",17,0.035177,0.742,"extend survival"
"DDX23",3112,0.035186,1.346,"reduce survival"
"STAT2",3333,0.035213,1.348,"reduce survival"
"CTD-2650P22.1",3,0.035248,0.742,"extend survival"
"TBX5",10,0.035281,1.345,"reduce survival"
"ZNF236",423,0.035305,1.347,"reduce survival"
"HORMAD2",7,0.035311,1.348,"reduce survival"
"RP5-874C20.3",496,0.03534,1.348,"reduce survival"
"MGME1",594,0.035345,1.346,"reduce survival"
"AC105402.4",3,0.035351,1.347,"reduce survival"
"MS4A7",614,0.035355,1.348,"reduce survival"
"RP11-258F22.1",8,0.035358,1.348,"reduce survival"
"GPSM3",150,0.035397,1.347,"reduce survival"
"RP11-364L4.1",9,0.035398,1.346,"reduce survival"
"PLXNA3",1918,0.035406,1.348,"reduce survival"
"RPA2",1555,0.03541,1.345,"reduce survival"
"RP11-91P24.6",3,0.035411,1.347,"reduce survival"
"CTC-548K16.2",3,0.035427,1.346,"reduce survival"
"GP5",2,0.035436,1.351,"reduce survival"
"RPL31P52",8,0.035451,1.346,"reduce survival"
"BRCA1",416,0.035462,1.345,"reduce survival"
"THEMIS2",627,0.035479,1.347,"reduce survival"
"RP11-438B23.2",4,0.035487,0.741,"extend survival"
"SPDYE9P",1,0.035491,1.352,"reduce survival"
"AC108025.2",2,0.03552,1.346,"reduce survival"
"GMDS",462,0.035525,0.742,"extend survival"
"SMIM5",126,0.035547,1.346,"reduce survival"
"ZNF334",348,0.035593,1.347,"reduce survival"
"CCDC150",94,0.035606,1.344,"reduce survival"
"TWISTNB",452,0.035609,1.347,"reduce survival"
"CASP8",260,0.035629,1.347,"reduce survival"
"SEPT7",8967,0.035649,1.347,"reduce survival"
"ADAM28",382,0.035667,1.346,"reduce survival"
"HNRNPA1P59",2,0.035672,1.347,"reduce survival"
"RAET1K",3,0.035676,1.346,"reduce survival"
"AC007000.10",1,0.035731,1.346,"reduce survival"
"MBD4",846,0.035757,1.347,"reduce survival"
"RELT",408,0.035758,1.346,"reduce survival"
"MIR31HG",3,0.035775,0.743,"extend survival"
"HTATSF1P2",13,0.035776,1.346,"reduce survival"
"SSC5D",164,0.035789,1.346,"reduce survival"
"C5AR1",371,0.035794,1.347,"reduce survival"
"RP3-476K8.4",3,0.035798,1.349,"reduce survival"
"HIST1H2BJ",34,0.035799,1.345,"reduce survival"
"NUMBL",1919,0.035815,1.346,"reduce survival"
"AC016773.1",36,0.03583,1.346,"reduce survival"
"MRPL9P1",3,0.03584,1.345,"reduce survival"
"CHSY1",927,0.035841,1.346,"reduce survival"
"AKIRIN1",2276,0.035892,1.345,"reduce survival"
"RP11-504G3.4",6,0.035941,1.346,"reduce survival"
"UBN2",821,0.035949,1.347,"reduce survival"
"MITD1",587,0.03598,1.346,"reduce survival"
"RP11-674P19.2",4,0.035988,1.346,"reduce survival"
"SLC27A1",3094,0.03599,1.346,"reduce survival"
"AC009120.6",58,0.035992,1.347,"reduce survival"
"LRRC59",1456,0.036025,1.343,"reduce survival"
"AC145343.2",3,0.036035,1.345,"reduce survival"
"FBXW2",1455,0.036041,1.346,"reduce survival"
"HNRNPD",6733,0.036061,1.343,"reduce survival"
"AC012531.25",1,0.036066,1.346,"reduce survival"
"ZNF596",212,0.036079,1.346,"reduce survival"
"AC006042.6",21,0.036086,1.346,"reduce survival"
"TMEM50B",283,0.036086,1.346,"reduce survival"
"CDK2",419,0.036093,1.344,"reduce survival"
"DUOXA2",1,0.036117,1.368,"reduce survival"
"HYAL2",372,0.036123,1.343,"reduce survival"
"LAP3",3587,0.036131,1.345,"reduce survival"
"AP5S1",523,0.03615,1.344,"reduce survival"
"OLFML1",50,0.036182,1.345,"reduce survival"
"SGCZ",2,0.036198,0.74,"extend survival"
"KRCC1",788,0.036217,1.344,"reduce survival"
"RAB38",21,0.036253,1.345,"reduce survival"
"SUN2",2066,0.036276,1.345,"reduce survival"
"MOCOS",21,0.036295,1.345,"reduce survival"
"RHOA",10775,0.036312,1.343,"reduce survival"
"BBS9",457,0.036316,1.344,"reduce survival"
"RP11-762H8.2",14,0.036323,1.345,"reduce survival"
"AC024704.2",5,0.036327,1.344,"reduce survival"
"LTN1",672,0.036345,1.346,"reduce survival"
"FAM117A",229,0.03635,1.345,"reduce survival"
"HEPHL1",3,0.036362,0.745,"extend survival"
"RP1-65J11.1",47,0.036374,1.341,"reduce survival"
"SNORD116-20",14,0.036376,1.346,"reduce survival"
"AC003006.1",1,0.036383,1.346,"reduce survival"
"RNU6-126P",1,0.036396,1.349,"reduce survival"
"PCID2",773,0.036413,1.346,"reduce survival"
"RNU6-5P",1,0.036418,1.357,"reduce survival"
"RNU6-900P",1,0.036443,0.726,"extend survival"
"RP11-488L18.6",7,0.036453,1.343,"reduce survival"
"RP11-1080G15.2",1,0.036494,1.353,"reduce survival"
"AC018470.1",1,0.036498,1.343,"reduce survival"
"MAP4K4",5330,0.036515,1.345,"reduce survival"
"CTA-390C10.10",67,0.03654,1.346,"reduce survival"
"COPA",5240,0.036559,1.344,"reduce survival"
"NEK11",463,0.036604,1.344,"reduce survival"
"CTD-3185P2.2",8,0.036606,1.344,"reduce survival"
"LEMD1-AS1",3,0.036624,1.345,"reduce survival"
"AP3B1",818,0.036634,1.345,"reduce survival"
"ADAM12",435,0.036686,1.344,"reduce survival"
"RP11-244H3.1",134,0.036686,1.345,"reduce survival"
"CLEC4M",1,0.036706,0.725,"extend survival"
"RP11-278C7.1",40,0.036733,1.345,"reduce survival"
"MLK7-AS1",4,0.036748,1.345,"reduce survival"
"MEN1",1750,0.036761,1.343,"reduce survival"
"C17orf51",18,0.036781,0.744,"extend survival"
"RP11-22B23.1",434,0.036781,1.342,"reduce survival"
"REEP6",373,0.036796,0.744,"extend survival"
"CYB5R1",1560,0.03681,1.343,"reduce survival"
"SLC25A29",2126,0.036847,1.345,"reduce survival"
"GLIS1",41,0.036861,0.744,"extend survival"
"ARAP1",3056,0.036894,1.344,"reduce survival"
"PDCD2",1114,0.036902,1.343,"reduce survival"
"GOLGB1",2803,0.036907,1.345,"reduce survival"
"ANKRD34C",1,0.036916,0.742,"extend survival"
"DOCK7",1557,0.03695,1.345,"reduce survival"
"BEND3P3",8,0.036955,1.343,"reduce survival"
"PEX11A",308,0.036976,1.343,"reduce survival"
"TTLL3",996,0.037,1.344,"reduce survival"
"RER1",3214,0.037007,1.343,"reduce survival"
"TRAF7",1668,0.037015,1.343,"reduce survival"
"MEIS3P2",15,0.037023,1.343,"reduce survival"
"NAV1",2181,0.03703,1.343,"reduce survival"
"RP11-190P13.2",2,0.037042,1.344,"reduce survival"
"RP11-186N15.3",29,0.037047,1.344,"reduce survival"
"ZNF528",588,0.037059,1.345,"reduce survival"
"ITPRIPL2",490,0.037063,1.344,"reduce survival"
"CAP2",491,0.037087,1.342,"reduce survival"
"SCPEP1",1406,0.037088,1.344,"reduce survival"
"WBP1LP2",10,0.037128,1.343,"reduce survival"
"RP11-324I22.3",10,0.037139,1.345,"reduce survival"
"HSPA1B",2,0.037162,1.341,"reduce survival"
"DDC8",11,0.037163,1.344,"reduce survival"
"RP3-449O17.1",139,0.037163,1.345,"reduce survival"
"RP5-882O7.1",13,0.037175,1.342,"reduce survival"
"TMEM194A",610,0.037177,1.343,"reduce survival"
"AC006953.1",1,0.037244,1.38,"reduce survival"
"GCK",176,0.037327,1.34,"reduce survival"
"AC226150.4",39,0.037363,1.342,"reduce survival"
"DUOXA1",8,0.03737,1.343,"reduce survival"
"DNAH9",332,0.037421,1.343,"reduce survival"
"FOXB1",2,0.037435,1.342,"reduce survival"
"DOK5",736,0.037439,1.341,"reduce survival"
"AMER3",28,0.037443,0.744,"extend survival"
"RPL3P7",14,0.037443,0.744,"extend survival"
"AP000330.8",26,0.037454,1.342,"reduce survival"
"MED24",3248,0.037455,1.341,"reduce survival"
"NAA40",1173,0.037477,1.343,"reduce survival"
"ARMCX6",249,0.037504,1.342,"reduce survival"
"C19orf81",274,0.037529,0.745,"extend survival"
"RP11-843P14.2",5,0.037553,1.343,"reduce survival"
"SLC9A4",1,0.037557,1.342,"reduce survival"
"CAMK2D",2285,0.037563,1.343,"reduce survival"
"ZMYM5",279,0.037565,1.343,"reduce survival"
"GTF2B",539,0.037571,1.342,"reduce survival"
"PRR5L",455,0.037603,1.343,"reduce survival"
"PDXK",5374,0.037613,0.745,"extend survival"
"COL4A2",8820,0.03762,1.342,"reduce survival"
"CLCF1",150,0.037622,1.343,"reduce survival"
"A2ML1",70,0.037673,0.746,"extend survival"
"MSX2",22,0.037703,0.745,"extend survival"
"PELO",520,0.037708,1.342,"reduce survival"
"TEAD3",298,0.037752,1.343,"reduce survival"
"KMT2C",2139,0.037781,1.343,"reduce survival"
"RP11-162A12.3",1,0.037781,1.341,"reduce survival"
"RP11-20G13.2",1,0.037842,1.344,"reduce survival"
"ST6GALNAC4P1",5,0.03786,1.341,"reduce survival"
"TMED7",1718,0.037883,1.342,"reduce survival"
"CHMP4BP1",6,0.037944,1.34,"reduce survival"
"CTC-507E2.2",1,0.037944,1.364,"reduce survival"
"RP11-330M2.4",3,0.037979,1.342,"reduce survival"
"RP11-203J24.9",1,0.037984,1.368,"reduce survival"
"HIF1A-AS2",5,0.037995,1.342,"reduce survival"
"IRF2BP2",2481,0.037997,1.341,"reduce survival"
"TREML3P",4,0.038035,1.341,"reduce survival"
"FERP1",1,0.038052,1.343,"reduce survival"
"CTD-2246P4.1",4,0.038059,1.343,"reduce survival"
"GPR157",68,0.038068,1.341,"reduce survival"
"TOB2",2178,0.038074,1.343,"reduce survival"
"RP11-235E17.5",5,0.03808,1.341,"reduce survival"
"ALDH3B1",538,0.038095,1.342,"reduce survival"
"HES1",931,0.038095,1.341,"reduce survival"
"FSIP2",32,0.038139,1.343,"reduce survival"
"ZKSCAN8",814,0.038222,1.342,"reduce survival"
"FAM46A",444,0.038229,1.341,"reduce survival"
"TAPBPL",532,0.03823,1.341,"reduce survival"
"AMMECR1L",759,0.038234,1.342,"reduce survival"
"RDH8",1,0.038247,1.37,"reduce survival"
"PVALB",9,0.038258,0.745,"extend survival"
"PHF11",539,0.038283,1.342,"reduce survival"
"TMEM82",1,0.038318,1.361,"reduce survival"
"THRAP3",3689,0.038333,1.341,"reduce survival"
"RP5-1147A1.2",2,0.03837,1.343,"reduce survival"
"MATK",171,0.038389,0.746,"extend survival"
"TRIM33",1020,0.0384,1.342,"reduce survival"
"MXRA8",2424,0.038404,1.34,"reduce survival"
"HNRNPA1P53",1,0.038411,1.344,"reduce survival"
"FAM188B",33,0.038441,1.34,"reduce survival"
"AC084219.4",13,0.038477,1.341,"reduce survival"
"GS1-44D20.1",5,0.038479,1.341,"reduce survival"
"AC005013.1",1,0.03851,1.341,"reduce survival"
"RAB7A",8251,0.038522,1.34,"reduce survival"
"RP3-467L1.4",8,0.038526,0.746,"extend survival"
"SIGLEC18P",1,0.038547,1.354,"reduce survival"
"TGFBR1",1457,0.038567,1.34,"reduce survival"
"CTB-193M12.1",1,0.038634,1.353,"reduce survival"
"RP11-395P17.11",7,0.038636,1.338,"reduce survival"
"CALHM2",353,0.038643,1.339,"reduce survival"
"AGBL5",781,0.038716,1.339,"reduce survival"
"RP11-720L2.4",24,0.038722,1.34,"reduce survival"
"RP11-492E3.51",1,0.038748,1.366,"reduce survival"
"ARL6IP6",628,0.038806,1.34,"reduce survival"
"YBX3P1",1,0.03881,1.342,"reduce survival"
"HMGXB3",1771,0.038841,1.339,"reduce survival"
"ZEB2",2762,0.038846,1.34,"reduce survival"
"RP3-467N11.1",37,0.03885,1.339,"reduce survival"
"ZNF14",178,0.038851,1.341,"reduce survival"
"RP11-804H8.6",35,0.038856,1.34,"reduce survival"
"FAM65C",266,0.038877,1.34,"reduce survival"
"RP4-758J18.10",75,0.03888,1.339,"reduce survival"
"GAL3ST2",14,0.038888,1.339,"reduce survival"
"FAM122C",254,0.038919,1.34,"reduce survival"
"ACMSD",7,0.039006,1.339,"reduce survival"
"MXRA5P1",4,0.039006,1.339,"reduce survival"
"RNF111",474,0.03902,1.339,"reduce survival"
"AIM1",125,0.039022,1.34,"reduce survival"
"TTC38",771,0.039022,1.34,"reduce survival"
"CEP290",424,0.039023,1.34,"reduce survival"
"CTD-2529P6.3",2,0.039037,1.339,"reduce survival"
"TMEM79",279,0.03905,1.338,"reduce survival"
"BAK1",543,0.039065,1.338,"reduce survival"
"TJAP1",1659,0.039065,1.339,"reduce survival"
"RP11-879F14.3",1,0.039091,0.745,"extend survival"
"TAS2R6",2,0.039093,1.342,"reduce survival"
"TMEM260",253,0.039093,1.341,"reduce survival"
"GOLT1A",12,0.039095,0.746,"extend survival"
"RTN4RL1",41,0.039103,0.747,"extend survival"
"CYP21A1P",27,0.03914,1.34,"reduce survival"
"THEGL",3,0.039155,1.339,"reduce survival"
"HOXA11",11,0.039179,1.338,"reduce survival"
"FSTL4",28,0.039188,0.746,"extend survival"
"LAMB1",1598,0.039228,1.34,"reduce survival"
"ZCCHC11",813,0.039244,1.34,"reduce survival"
"TXLNA",2768,0.039262,1.339,"reduce survival"
"CLCN1",6,0.039289,1.34,"reduce survival"
"MST1P2",275,0.039294,1.339,"reduce survival"
"ATP12A",2,0.0393,0.741,"extend survival"
"DAG1",4617,0.039306,1.338,"reduce survival"
"VPS16",1384,0.039314,1.339,"reduce survival"
"GYS1",1552,0.039326,1.339,"reduce survival"
"POLR3G",175,0.039336,1.339,"reduce survival"
"RP11-378J18.8",69,0.039355,1.338,"reduce survival"
"NUP107",798,0.039373,1.339,"reduce survival"
"HEATR6",523,0.039377,1.339,"reduce survival"
"SLC22A15",148,0.039398,1.339,"reduce survival"
"RNA5SP118",2,0.039402,1.339,"reduce survival"
"CTC-498J12.3",4,0.039434,1.337,"reduce survival"
"LINC00671",7,0.039485,0.747,"extend survival"
"RP11-35P15.1",2,0.039496,0.741,"extend survival"
"SOHLH2",18,0.039503,1.338,"reduce survival"
"RHOQ",1821,0.039591,1.339,"reduce survival"
"SSH3",663,0.039598,1.338,"reduce survival"
"AP006621.6",38,0.039602,1.338,"reduce survival"
"CASP9",660,0.039654,1.336,"reduce survival"
"PURB",2219,0.039669,1.337,"reduce survival"
"CDCA4",196,0.039676,1.337,"reduce survival"
"CEACAM1",15,0.039679,1.338,"reduce survival"
"ENPEP",166,0.039682,1.338,"reduce survival"
"PCGF3",1702,0.039696,1.339,"reduce survival"
"SERAC1",295,0.039729,1.339,"reduce survival"
"AF064860.5",1,0.039735,1.338,"reduce survival"
"RP11-264F23.4",9,0.039771,1.337,"reduce survival"
"ZMAT1",1122,0.039779,1.339,"reduce survival"
"PUS10",158,0.039785,1.339,"reduce survival"
"PROCA1",301,0.039792,1.338,"reduce survival"
"RP11-290F20.1",17,0.039803,1.338,"reduce survival"
"RNU6-1011P",3,0.03983,1.341,"reduce survival"
"DNAH10",59,0.039842,1.339,"reduce survival"
"RPS10L",1,0.039848,1.349,"reduce survival"
"DNAJC6",818,0.039851,1.338,"reduce survival"
"C10orf10",1425,0.039871,1.338,"reduce survival"
"RP11-17E13.2",20,0.039874,1.337,"reduce survival"
"FAM200A",293,0.039887,1.337,"reduce survival"
"AC006372.1",2,0.039893,1.337,"reduce survival"
"RP11-327F22.2",7,0.040003,1.337,"reduce survival"
"ZIC1",1108,0.04002,1.336,"reduce survival"
"CNNM1",34,0.040031,0.747,"extend survival"
"STAB1",4763,0.040045,1.338,"reduce survival"
"RHBDD1",484,0.040072,1.337,"reduce survival"
"TM4SF1",781,0.040079,1.336,"reduce survival"
"RGS1",993,0.040089,1.338,"reduce survival"
"HSPA5",11380,0.04009,1.337,"reduce survival"
"CTD-3065B20.3",3,0.040103,1.338,"reduce survival"
"ZNF567",153,0.040107,1.338,"reduce survival"
"ZNF786",343,0.040113,1.337,"reduce survival"
"RP11-466H18.1",237,0.040132,0.747,"extend survival"
"FNDC3B",858,0.040134,1.338,"reduce survival"
"KMO",19,0.040142,1.338,"reduce survival"
"AC005152.2",188,0.040144,1.336,"reduce survival"
"RP11-1399P15.1",1,0.040166,1.354,"reduce survival"
"UCHL3",14,0.040166,1.337,"reduce survival"
"LPCAT3",263,0.040168,1.338,"reduce survival"
"STK32B",222,0.04019,1.337,"reduce survival"
"SUB1P1",11,0.040205,1.336,"reduce survival"
"SRGAP2B",39,0.04021,1.337,"reduce survival"
"ZNF474",10,0.040238,1.336,"reduce survival"
"CAD",1975,0.04024,1.337,"reduce survival"
"HCG22",2,0.040295,1.337,"reduce survival"
"S100A10",3696,0.040297,1.337,"reduce survival"
"ELMOD2",646,0.040308,1.337,"reduce survival"
"PWP1",1246,0.040311,1.337,"reduce survival"
"HIST1H4H",92,0.040326,1.336,"reduce survival"
"RP11-603J24.7",26,0.040333,1.336,"reduce survival"
"BRDT",3,0.040364,0.746,"extend survival"
"PARD6G",221,0.04039,1.337,"reduce survival"
"RIOK1",477,0.04041,1.336,"reduce survival"
"RP11-1G11.2",1,0.040411,1.342,"reduce survival"
"G0S2",124,0.040415,1.337,"reduce survival"
"OSTM1",1003,0.040422,1.337,"reduce survival"
"ITCH",1121,0.040466,1.337,"reduce survival"
"B3GNT8",21,0.040491,1.337,"reduce survival"
"IRAK1",1695,0.040493,1.336,"reduce survival"
"RWDD4",387,0.040531,1.336,"reduce survival"
"ZNF384",1238,0.040571,1.337,"reduce survival"
"C5orf15",1167,0.040601,1.337,"reduce survival"
"RPS15AP10",1,0.040606,1.337,"reduce survival"
"RNF43",22,0.040612,0.748,"extend survival"
"MAP3K7",1161,0.040618,1.337,"reduce survival"
"RP5-1159O4.1",112,0.040652,1.337,"reduce survival"
"TNNI1",3,0.040675,1.336,"reduce survival"
"FABP12",1,0.040684,1.343,"reduce survival"
"IFT140",1712,0.040708,1.336,"reduce survival"
"SAMSN1",250,0.040732,1.337,"reduce survival"
"LRRC38",3,0.04074,0.746,"extend survival"
"PPIAP16",1,0.040791,1.337,"reduce survival"
"ELF4",148,0.040802,1.336,"reduce survival"
"CEP152",119,0.040803,1.336,"reduce survival"
"ABCB8",2037,0.040805,1.335,"reduce survival"
"ALDH4A1",1492,0.04083,1.334,"reduce survival"
"LIMK2",1191,0.040844,1.336,"reduce survival"
"NPM2",68,0.040854,0.748,"extend survival"
