"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"TNFAIP2",1187,0.002742,1.527,"reduce survival"
"RP1-68D18.2",5,0.002747,1.528,"reduce survival"
"FRMD3",415,0.002751,1.524,"reduce survival"
"RP5-1070A16.1",3,0.002758,1.521,"reduce survival"
"RP11-274H2.5",15,0.002761,1.525,"reduce survival"
"HKR1",1449,0.002767,1.524,"reduce survival"
"RASSF1",491,0.002794,1.522,"reduce survival"
"SLC9A8",1228,0.002794,1.526,"reduce survival"
"RARRES1",46,0.00282,1.523,"reduce survival"
"LILRB2",71,0.002822,1.525,"reduce survival"
"RP11-830F9.6",4,0.002855,0.657,"extend survival"
"RP1-74M1.3",148,0.002874,1.521,"reduce survival"
"MAPK1IP1L",1745,0.002885,1.522,"reduce survival"
"GP9",1,0.002886,0.655,"extend survival"
"DLGAP5",140,0.002894,1.519,"reduce survival"
"HOXA-AS2",16,0.0029,1.52,"reduce survival"
"TNRC18",6183,0.002903,1.521,"reduce survival"
"AC002511.3",1,0.00291,0.621,"extend survival"
"RP11-173M1.8",50,0.002918,1.521,"reduce survival"
"PPP1R1C",61,0.002925,1.518,"reduce survival"
"DENND2A",2870,0.002929,1.521,"reduce survival"
"CSTF3",882,0.002936,1.521,"reduce survival"
"STOML3",1,0.002962,1.534,"reduce survival"
"FAM153C",10,0.002966,0.657,"extend survival"
"MDM4",1530,0.002968,1.522,"reduce survival"
"SIGLEC9",150,0.002975,1.521,"reduce survival"
"RP11-417F21.1",5,0.002977,1.522,"reduce survival"
"CTC-542B22.2",15,0.002984,1.519,"reduce survival"
"C6orf118",45,0.002985,1.516,"reduce survival"
"IFI44",1126,0.002993,1.519,"reduce survival"
"IWS1",1304,0.002994,1.516,"reduce survival"
"PYGO2",1752,0.002997,1.517,"reduce survival"
"HFE",183,0.003009,1.52,"reduce survival"
"RP3-509I19.1",2,0.003013,1.519,"reduce survival"
"MOXD1",555,0.003026,1.518,"reduce survival"
"RN7SL109P",1,0.003031,1.541,"reduce survival"
"BUD31",897,0.003041,1.515,"reduce survival"
"MINA",362,0.003048,1.517,"reduce survival"
